,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
revolution cr,importance cr,solve cr,read cr,panorama cr,numbers cr,gamma cr,sequence cr,aunt cr,guitar cr,asphalt cr,leave_work cr,sleep cr,work cr,maria cr,sick cr,distribution cr,chess cr,trolley cr,truth cr,no_work cr,sorry cr,possibility cr,describe cr,revolution wr,importance wr,solve wr,read wr,sleep wr,work wr,maria wr,sick wr,panorama wr,numbers wr,gamma wr,sequence wr,distribution wr,chess wr,trolley wr,truth wr,aunt wr,guitar wr,asphalt wr,leave_work wr,no_work wr,sorry wr,possibility wr,describe wr
сказал,понимаете,всё,успею,умещают,"два миллиона, все",вся,всю,жизнь,гитаре,всё,всё время,всю дорогу,весь день,ночь,день,все,все,всех пассажиров,я,работать,извиняться,не перебирал,описывать,во все,всей,всё,всё,всю,весь,всю,весь,разнообразия,цифры,гамма,последовательность,детали распредения,партия,пассажиров,правды,всю,всю,всё,всё,всю,всё,все,все
не верю,не понимаете,все это,не успею,всего разнообразия,все цифры,вся гамма,всю последовательность,не собираюсь,всю жизнь,все время,все время,всю,не работал,всю ночь,весь день,все детали,все ходы,всех,всей правды,всю жизнь,не хочу,перебирал,описывать тебе,все эти,всей,все это,все это,всю дорогу,весь день,всю ночь,весь,разнообразия,два миллиона,вся гамма,всю последовательность,все детали,ходы,пассажиров,всей правды,всю жизнь,всю жизнь,все время,все время,всю жизнь,все время,все возможности,не хочу
не верю,не понимаете,не хочу,не успею,"умещают, всего",все,вся,всю,не собираюсь,жизнь,всё время,время,всю дорогу,весь день,ночь,"больной, день","может, все",все,всех,всей,не хочу,не хочу,не перебирал,не хочу,"сказал, все",всей,"страшно, всё","успею, всё",всю,весь,всю ночь,весь,разнообразия,цифры,вся гамма,последовательность,детали,ходы,пассажиров,правды,всю,всю,всё,всё,всю,всё,все,"хочу, все"
верю,понимаете,хочу,успею,всего,все,вся,всю,жизнь,жизнь,всё,могу время уходить,дорогу,день,ночь,день,все,все,всех,всей,"хочу, работать",хочу извиняться,перебирал,хочу,все,всей,всё,всё,всю,весь,всю,весь день,разнообразия,цифры,гамма,последовательность,детали,ходы,пассажиров,правды,всю,всю,всё,всё,всю,всё,все,все
верю,понимаете,хочу,успею,всего,все,воспроизводится,всю,жизнь тётки,жизнь,время,не могу,дорогу,весь день,ночь,день,может все,все ходы,всех,рассказала,работать,хочу,перебирал,хочу,все,всей важности,всё,всё,спала всю,весь,всю ночь,весь день,разнообразия,цифры,гамма,последовательность,детали,ходы подряд,пассажиров,правды,всю,всю жизнь,всё,всё,всю,всё,способ все,все
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
revolution cr,importance cr,solve cr,read cr,panorama cr,numbers cr,gamma cr,sequence cr,aunt cr,guitar cr,asphalt cr,leave_work cr,sleep cr,work cr,maria cr,sick cr,distribution cr,chess cr,trolley cr,truth cr,no_work cr,sorry cr,possibility cr,describe cr,revolution wr,importance wr,solve wr,read wr,sleep wr,work wr,maria wr,sick wr,panorama wr,numbers wr,gamma wr,sequence wr,distribution wr,chess wr,trolley wr,truth wr,aunt wr,guitar wr,asphalt wr,leave_work wr,no_work wr,sorry wr,possibility wr,describe wr
сказал,понимаете,всё,успею,умещают,"два миллиона, все",вся,всю,жизнь,гитаре,всё,всё время,всю дорогу,весь день,ночь,день,все,все,всех пассажиров,я,работать,извиняться,не перебирал,описывать,во все,всей,всё,всё,всю,весь,всю,весь,разнообразия,цифры,гамма,последовательность,детали распредения,партия,пассажиров,правды,всю,всю,всё,всё,всю,всё,все,все
не верю,не понимаете,хочу,не успею,всего разнообразия,все цифры,вся гамма,всю последовательность,не собираюсь,всю жизнь,все время,все время,всю дорогу,не работал,всю ночь,весь день,все детали,все ходы,всех,всей правды,всю жизнь,не хочу,перебирал,описывать тебе,все эти,всей,все это,все это,всю дорогу,весь день,всю ночь,весь,разнообразия,два миллиона,вся гамма,всю последовательность,все детали,ходы,пассажиров,всей правды,всю жизнь,всю жизнь,все время,все время,всю жизнь,все время,все возможности,не хочу
не верю,не понимаете,не хочу,не успею,"умещают, всего",все,вся,всю,не собираюсь,жизнь,всё время,время,всю дорогу,весь день,ночь,"больной, день","может, все",все,всех,всей,не хочу,не хочу,не перебирал,не хочу,"сказал, все",всей,"страшно, всё","успею, всё",всю,весь,всю ночь,весь,разнообразия,цифры,вся гамма,последовательность,детали,ходы,пассажиров,правды,всю,всю,всё,всё,всю,всё,все,"хочу, все"
верю,понимаете,хочу,успею,всего,все,вся,всю,жизнь,жизнь,всё,могу время уходить,дорогу,день,ночь,день,все,все,всех,всей,"хочу, работать",хочу извиняться,перебирал,хочу,все,всей,всё,всё,всю,весь,всю,весь день,разнообразия,цифры,гамма,последовательность,детали,ходы,пассажиров,правды,всю,всю,всё,всё,всю,всё,все,все
верю,понимаете,хочу,успею,всего,все,воспроизводится,всю,жизнь тётки,жизнь,время,не могу,дорогу,весь день,ночь,день,может все,все ходы,всех,рассказала,работать,хочу,перебирал,хочу,все,всей важности,всё,всё,спала всю,весь,всю ночь,весь день,разнообразия,цифры,гамма,последовательность,детали,ходы подряд,пассажиров,правды,всю,всю жизнь,всё,всё,всю,всё,способ все,все
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
revolution cr,importance cr,solve cr,read cr,panorama cr,numbers cr,gamma cr,sequence cr,aunt cr,guitar cr,asphalt cr,leave_work cr,sleep cr,work cr,maria cr,sick cr,distribution cr,chess cr,trolley cr,truth cr,no_work cr,sorry cr,possibility cr,describe cr,revolution wr,importance wr,solve wr,read wr,sleep wr,work wr,maria wr,sick wr,panorama wr,numbers wr,gamma wr,sequence wr,distribution wr,chess wr,trolley wr,truth wr,aunt wr,guitar wr,asphalt wr,leave_work wr,no_work wr,sorry wr,possibility wr,describe wr
NQ,NQ,Q,NQ,NQ,Q,Q,Q,NQ,NQ,Q,NQ,NQ,NQ,NQ,NQ,Q,Q,Q,NQ,NQ,NQ,NQ,NQ,Q,Q,Q,Q,Q,Q,Q,Q,NQ,NQ,NQ,NQ,NQ,NQ,NQ,NQ,Q,Q,Q,Q,Q,Q,Q,Q
NQ,NQ,Q,NQ,Q,Q,Q,Q,NQ,NQ,NQ,NQ,Q,NQ,NQ,NQ,Q,Q,Q,Q,NQ,NQ,NQ,NQ,Q,Q,Q,Q,Q,NQ,NQ,Q,NQ,NQ,NQ,NQ,NQ,NQ,NQ,NQ,Q,Q,Q,Q,Q,Q,Q,Q
NQ,NQ,NQ,NQ,Q,Q,Q,Q,NQ,NQ,NQ,NQ,NQ,NQ,NQ,NQ,Q,Q,Q,Q,NQ,NQ,NQ,NQ,Q,Q,Q,Q,Q,Q,NQ,Q,NQ,NQ,NQ,NQ,NQ,NQ,NQ,NQ,Q,Q,Q,Q,Q,Q,Q,Q
NQ,NQ,NQ,NQ,Q,Q,Q,Q,NQ,NQ,Q,NQ,NQ,NQ,NQ,NQ,Q,Q,Q,Q,NQ,NQ,NQ,NQ,Q,Q,Q,Q,Q,Q,Q,NQ,NQ,NQ,NQ,NQ,NQ,NQ,NQ,NQ,Q,Q,Q,Q,Q,Q,Q,Q
NQ,NQ,NQ,NQ,Q,Q,NQ,Q,NQ,NQ,NQ,NQ,NQ,NQ,NQ,NQ,Q,Q,Q,NQ,NQ,NQ,NQ,NQ,Q,Q,Q,Q,Q,Q,NQ,NQ,NQ,NQ,NQ,NQ,NQ,NQ,NQ,NQ,Q,Q,Q,Q,Q,Q,Q,Q
5,5,3,5,4,5,4,5,5,5,3,5,4,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,4,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
100,100,60,100,80,100,80,100,100,100,60,100,80,100,100,100,100,100,100,60,100,100,100,100,100,100,100,100,100,80,40,60,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
